"id","yield_kg_ha","kg_N_ha","kg_P_ha","kg_K_ha","rainfall","mean_temperature","extractable_phosphorous","total_potassium","sand_content","soil_organic_carbon","pH","root_depth"
1,2890,0,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
2,1200,15,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
3,1350,15,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
4,1570,15,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
5,1830,30,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
6,4040,60,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
7,3370,30,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
8,1490,60,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
9,850,0,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
10,1450,60,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
11,3610,60,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
12,1700,30,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
13,1380,0,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
14,3290,15,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
15,3840,30,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
16,1710,30,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
17,1960,0,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
18,3450,30,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
19,4520,30,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
20,1930,0,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
21,1880,60,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
22,1640,60,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
23,1300,15,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
24,1010,0,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
25,2620,60,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
26,2250,15,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
27,2630,15,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
28,1000,15,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
29,3420,60,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
30,1530,30,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
31,2090,30,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
32,1830,30,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
33,1410,0,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
34,3420,60,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
35,1770,30,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
36,2600,0,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
37,1680,0,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
38,1950,60,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
39,1550,60,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
40,1700,15,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
41,2310,15,30,0,467,22,1299,289,62.5,7,6.55000019073486,115
42,2920,60,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
43,1590,15,0,0,467,22,1299,289,62.5,7,6.55000019073486,115
44,2260,15,7.5,0,467,22,1299,289,62.5,7,6.55000019073486,115
45,3470,30,15,0,467,22,1299,289,62.5,7,6.55000019073486,115
